stkcd,reptdt,ralatedpartyid,repart,relation,trasub,direction,repat,isam,principl,rigicy,cogicy,number,prvn,indusb,listplte,period
603766,2019-12-31,-1.0,"广州威能机电有限公司,广州金言贸易有限公司",11,2.0,3.0,07,289019.91,None,0.0,79.8,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,"广州威能机电有限公司,广州金言贸易有限公司",11,2.0,3.0,07,289019.91,None,0.0,65.0,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,"广州威能机电有限公司,广州金言贸易有限公司",11,2.0,3.0,07,289019.91,None,0.0,67.0,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,"广州威能机电有限公司,广州金言贸易有限公司",11,2.0,3.0,07,289019.91,None,0.0,80.0,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,"广州威能机电有限公司,广州金言贸易有限公司",11,2.0,3.0,07,289019.91,None,0.0,,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,"广州威能机电有限公司,广州金言贸易有限公司",11,2.0,3.0,07,289019.91,None,0.0,51.0,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,"广州威能机电有限公司,广州金言贸易有限公司",11,2.0,3.0,07,289019.91,None,0.0,89.8,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,东莞市志金机械设备有限公司,12,1.0,2.0,02,1177533.69,None,0.0,100.0,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,东莞市志金机械设备有限公司,12,1.0,2.0,02,1177533.69,None,0.0,79.8,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,东莞市志金机械设备有限公司,12,1.0,2.0,02,1177533.69,None,0.0,65.0,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,东莞市志金机械设备有限公司,12,1.0,2.0,02,1177533.69,None,0.0,67.0,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,东莞市志金机械设备有限公司,12,1.0,2.0,02,1177533.69,None,0.0,80.0,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,东莞市志金机械设备有限公司,12,1.0,2.0,02,1177533.69,None,0.0,,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,东莞市志金机械设备有限公司,12,1.0,2.0,02,1177533.69,None,0.0,51.0,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,东莞市志金机械设备有限公司,12,1.0,2.0,02,1177533.69,None,0.0,89.8,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603767,2019-12-31,-1.0,吴江,09,1.0,2.0,06,19810000.0,None,0.0,100.0,,浙江省,汽车制造业,主板,Pre-COVID
